Image,Value,Unit,Amount,Description,Termination,Package,Datasheet,Manufacturer,Tolerance,Power,Category,Box,Code,Label
ref:Icons:Name,,,int,,,,,,,,ref:ComponentCodes:Name,ref:Box:Name,,
ConnectorTerminalStrip3A,,,23,3A/400V,,,,,,3A,Connector,Connector Box,TERSTR0,Terminal Strip 3A
ConnectorTerminalStripPA30P,,,8,,,,,,,,Connector,Connector Box,TERSTR1,Terminal Strip
ConnBig1x3,,,4,,,,,,,,Connector,Connector Box,R_396_3PIN_F,Connector r.3.96 3 Pin Female
2510KF-1x5,,,10,2510KF,,,,,,,Connector,Connector Box,2510KF_1X5_F,Connector 1x5 402 Female
2510KF-1x4,,,10,2510KF,,,,,,,Connector,Connector Box,2510KF_1X4_F,Connector 1x4 402 Female
2510KF-1x3,,,10,2510KF,,,,,,,Connector,Connector Box,2510KF_1X3_F,Connector 1x3 402 Female
JSTXH2.54F,,,6,JST XH 2.54 Female 2 Pin,,,,,,,Connector,Connector Box,JSTXH254_1X2_F,Connector JST XH 2.54 2 Pin Female
JSTXH_2.54_3Pin_M,,,2,JST XH 2.54 Male 3 Pin,,,,,,,Connector,Connector Box,JSTXH254_1X3_M,Connector JST XH 2.54 3 Pin Male
Jumper,,,49,2 Pin 2.54 Jumper Female,,,,,,,Connector,Connector Box,JUMPER254_F,Jumper 2.54 Female 2 Pin
Conn_403-2,,,10,403.2p,,,,,,,Connector,Connector Box,CONN403_2_M,Connector 2.54 2 Pin Male
Conn_403-2A,,,10,403.2p,,,,,,,Connector,Connector Box,CONN403_2_M_A,Connector 2.54 2 Pin Male Angled
JSTXH_2.54_4Pin_M,,,5,,,,,,,,Connector,Connector Box,JSTXH254_1X4_M,Connector JST XH 2.54 4 Pin Male
ConnBig3PinMale,,,3,wt.134.3p,,,,,,,Connector,Connector Box,CONN_R396_3P_M,Connector r3.96 3 Pin Male
ConnBig3PinMaleAngled,,,3,wt.134.3k,,,,,,,Connector,Connector Box,CONN_R396_3P_M_A,Connector r3.96 3 Pin Male Angled
Conn_403_5Angled,,,10,wt.403.4k,,,,,,,Connector,Connector Box,CONN403_5_M_A,Connector 2.54 5 Pin Angled
Conn_403_4M,,,10,wt.403.4p,,,,,,,Connector,Connector Box,CONN403_4_M,Connector 2.54 4 Pin
PinSocket_1.27_2x10,,,7,,SMD,,,,,,Connector,Connector Box,PINSOC1.27_2X10,Pin Socket 1.27 2x10
PinSocket_1.27_2x8,,,6,,SMD,,,,,,Connector,Connector Box,PINSOC1.27_2X8,Pin Socket 1.27 2x8
PinSocket_1.27_2x15,,,8,,SMD,,,,,,Connector,Connector Box,PINSOC1.27_2X15,Pin Socket 1.27 2x15
PinSocket_1.27_2x5,,,11,,SMD,,,,,,Connector,Connector Box,PINSOC1.27_2X5,Pin Socket 1.27 2x5
PinHeader_2.54_2Row,,,98,,,,,,,,Connector,Connector Box,PINHDR2.54_2R,Pin Header 2.54 2 Row
PinHeader_2.54_1Row,,,220,,,,,,,,Connector,Connector Box,PINHDR2.54_1R,Pin Header 2.54 1 Row
WireHousing_2.54Big,,,210,,,,,,,,Connector,Connector Box,WIREH2.54B,Wire Housing Gold Pin 2.54 Huge
PinHeader_2.54_2RowAngled,,,200,,,,,,,,Connector,Connector Box,PINHDR2.54_2RA,Pin Header 2.54 2 Row Angled
WireHousing_2.54N,,,380,,,,,,,,Connector,Connector Box,WIREH2.54,Wire Housing Gold Pin 2.54 Normal
Conn_403-3A,,,10,,,,,,,,Connector,Connector Box,CONN403_3_M_A,Connector 2.54 3 Pin Angled
Conn_403-3,,,10,,,,,,,,Connector,Connector Box,CONN403_3_M,Connector 2.54 3 Pin Angled
PinHeader_2.54_1RowAngled,,,4,,,,,,,,Connector,Connector Box,PINHDR2.54_1RA,Pin Header 2.54 1 Row Angled
PinHeader_1.27_2RowAngled,,,250,,,,,,,,Connector,Connector Box,PINHDR1.27_2RA,Pin Header 1.27 2 Row
WireHousing_Conn_403,,,141,2510KF,,,,,,,Connector,Connector Box,WIREH403,Wire Housing 403 Connector
WireHousing_Conn_r3.96,,,18,R3.96,,,,,,,Connector,Connector Box,WIREHR396,Wire Housing r3.96 Connector
MicaTransferPad,,,24,,,,,,,,Mount,Connector Box,TRANSP25x20,Mica Heat Transfer Pad 25x20mm
DSTape20x15,,,2,,,,,,,,Mount,Connector Box,DTAP20x15,Double Sided Tape 20x15mm
WC19x15,,,7,WCC2,,,,,,,Mount,Connector Box,WCC19x15,Wire Clip 19x15mm
WC12x3x9.5,,,20,,,,,,,,Mount,Connector Box,WCC12x3x9.5,Wire Clip 12x3x9.5mm
JSTXH2.54M,,,10,JST XH 2.54 Male 2 Pin,,,,,,,Connector,Connector Box,JSTXH254_1X2_M,Connector JST XH 2.54 2 Pin Male
